Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2014-12-24,636.0,639.5,606.5,611.0,38180.0,208531.0
2014-12-23,625.0,637.0,621.0,635.0,31264.0,206786.0
2014-12-22,629.0,644.0,621.0,625.5,53530.0,209723.0
2014-12-19,654.0,654.0,629.5,632.5,68655.0,210334.0
2014-12-18,646.0,677.0,645.5,655.5,101950.0,214422.0
2014-12-17,623.5,650.5,617.0,648.0,103313.0,218456.0
2014-12-16,616.0,639.0,615.0,623.5,93062.0,221348.0
2014-12-15,605.0,622.5,599.5,619.0,65697.0,221167.0
2014-12-12,598.0,613.0,593.0,606.0,71927.0,223368.0
2014-12-11,583.0,600.5,572.5,597.0,76288.0,222224.0
2014-12-10,585.5,585.5,575.5,581.5,54866.0,223849.0
2014-12-09,596.0,596.5,583.0,585.5,59303.0,223565.0
2014-12-08,593.5,605.5,588.0,598.0,56430.0,224844.0
2014-12-05,589.0,595.5,582.0,594.0,51529.0,226391.0
2014-12-04,590.0,591.5,577.0,589.5,61147.0,226559.0
2014-12-03,603.0,606.0,585.5,589.0,64398.0,230340.0
2014-12-02,606.5,611.5,596.5,603.5,93517.0,231543.0
2014-12-01,578.0,608.0,570.5,606.5,91520.0,230497.0
2014-11-28,558.4,580.7,557.2,577.9,54808.4,178917.0
2014-11-26,555.4,564.2,553.2,562.3,41687.2,139047.0
2014-11-25,544.5,555.4,542.1,553.6,30965.8,101587.6
2014-11-24,547.2,552.6,542.8,543.8,32616.0,71600.6
2014-11-21,547.0,553.75,540.75,547.25,35552.0,68237.0
2014-11-20,538.5,548.0,532.0,547.25,37147.0,79062.0
2014-11-19,549.0,549.5,535.0,537.75,38460.0,89849.0
2014-11-18,552.0,553.0,544.25,549.0,28220.0,94822.0
2014-11-17,559.25,563.25,551.0,551.75,40185.0,105460.0
2014-11-14,553.75,564.75,549.0,560.5,62732.0,110326.0
2014-11-13,542.0,559.0,537.0,553.75,111872.0,121457.0
2014-11-12,524.25,545.75,522.75,542.75,137624.0,144000.0
2014-11-11,518.0,526.5,511.75,525.25,95078.0,163724.0
2014-11-10,514.0,524.5,511.25,517.25,87694.0,184901.0
2014-11-07,520.5,520.5,511.0,514.5,64523.0,192655.0
2014-11-06,525.0,528.0,520.0,520.25,45979.0,195904.0
2014-11-05,532.0,532.5,518.75,524.75,61436.0,201092.0
2014-11-04,538.25,538.75,529.0,530.5,40591.0,204246.0
2014-11-03,536.25,539.25,526.75,538.25,48197.0,208513.0
2014-10-31,536.0,539.0,523.0,532.5,60405.0,212887.0
2014-10-30,538.25,545.5,532.5,536.0,53278.0,219598.0
2014-10-29,531.0,540.5,527.5,538.25,45718.0,223857.0
2014-10-28,525.5,533.0,523.25,530.75,44792.0,226557.0
2014-10-27,516.0,526.5,510.5,522.75,50360.0,228762.0
2014-10-24,525.5,539.25,517.25,517.75,57182.0,230093.0
2014-10-23,520.25,530.75,519.25,526.75,41529.0,228834.0
2014-10-22,521.0,528.75,516.0,522.25,51178.0,229249.0
2014-10-21,515.0,523.75,512.25,519.25,55900.0,229331.0
2014-10-20,515.0,515.75,507.25,513.5,41340.0,232206.0
2014-10-17,517.75,522.25,512.75,516.0,48144.0,236371.0
2014-10-16,506.5,518.5,502.5,517.0,44445.0,236617.0
2014-10-15,510.0,516.25,501.5,506.0,55261.0,240798.0
2014-10-14,505.25,510.0,498.25,509.25,34246.0,241911.0
2014-10-13,498.5,506.5,495.5,505.25,39300.0,243557.0
2014-10-10,493.5,508.5,488.25,498.5,67978.0,244053.0
2014-10-09,508.0,508.25,492.0,493.25,56929.0,246581.0
2014-10-08,507.25,511.75,502.0,507.75,46601.0,247440.0
2014-10-07,491.5,509.5,489.25,506.25,71945.0,255327.0
2014-10-06,485.5,494.75,484.75,491.5,39766.0,252388.0
2014-10-03,483.25,489.0,478.0,485.75,44411.0,255982.0
2014-10-02,477.5,489.75,477.25,482.75,48689.0,257139.0
2014-10-01,476.75,484.0,469.5,479.0,45498.0,257526.0
2014-09-30,481.25,481.75,468.0,477.75,61430.0,253845.0
2014-09-29,470.75,482.5,470.5,481.25,41738.0,252971.0
2014-09-26,472.75,476.25,468.5,474.25,27023.0,257132.0
2014-09-25,480.25,483.5,466.25,474.0,51778.0,253379.0
2014-09-24,473.5,484.5,473.5,480.25,54684.0,259759.0
2014-09-23,475.5,479.75,471.0,476.0,48133.0,257952.0
2014-09-22,476.25,480.75,469.5,476.75,61824.0,252255.0
2014-09-19,487.75,488.25,473.75,474.5,45331.0,253584.0
2014-09-18,496.25,498.75,487.75,488.5,33303.0,254104.0
2014-09-17,496.0,501.5,494.25,499.25,33013.0,254696.0
2014-09-16,499.0,508.5,491.0,496.25,48656.0,251209.0
2014-09-15,501.5,504.0,496.0,500.75,39677.0,251420.0
2014-09-12,508.5,509.25,500.0,502.5,39690.0,250176.0
2014-09-11,518.0,519.25,503.0,509.5,58970.0,249663.0
2014-09-10,528.75,529.25,519.25,519.75,35897.0,249185.0
2014-09-09,533.75,533.75,523.25,527.5,32234.0,248340.0
2014-09-08,535.25,539.25,524.25,533.5,33901.0,248692.0
2014-09-05,530.75,542.0,528.25,535.25,48736.0,248645.0
2014-09-04,536.0,537.0,527.0,530.5,48930.0,248904.0
2014-09-03,555.0,556.0,535.0,535.5,81771.0,243165.0
2014-09-02,562.75,566.0,550.75,555.0,43253.0,242264.0
2014-08-29,567.0,575.45,558.2,560.85,41798.0,196264.4
2014-08-28,556.15,573.35,553.4,565.65,56330.2,154442.6
2014-08-27,546.0,554.0,541.3,553.25,25991.0,110697.4
2014-08-26,544.5,548.4,534.35,544.5,24037.6,71296.0
2014-08-25,551.0,554.25,540.5,542.5,14287.0,33157.0
2014-08-22,546.0,562.5,545.5,552.0,44409.0,51503.0
2014-08-21,539.5,549.75,536.75,546.25,29029.0,56938.0
2014-08-20,546.25,549.25,534.25,539.5,36758.0,67873.0
2014-08-19,541.0,556.0,535.5,546.0,40605.0,79892.0
2014-08-18,549.75,551.5,540.5,542.5,27677.0,85907.0
2014-08-15,535.25,556.25,533.5,551.25,57444.0,93550.0
2014-08-14,528.25,539.25,528.0,537.25,44339.0,101092.0
2014-08-13,537.75,544.25,527.25,528.0,64983.0,111043.0
2014-08-12,547.25,547.5,533.5,538.0,96517.0,130476.0
2014-08-11,548.5,556.5,543.0,546.5,97495.0,150187.0
2014-08-08,561.0,561.5,546.0,549.25,74769.0,163865.0
2014-08-07,568.0,568.25,558.5,561.5,81062.0,179729.0
2014-08-06,553.0,572.0,552.75,568.0,83100.0,183809.0
2014-08-05,543.75,554.25,538.0,552.5,51206.0,187694.0
2014-08-04,534.75,553.25,534.25,544.0,55289.0,190908.0
2014-08-01,531.0,544.0,530.5,534.25,60717.0,196620.0
2014-07-31,527.0,536.25,523.5,530.25,59635.0,200882.0
2014-07-30,521.25,529.0,519.75,527.25,51586.0,202838.0
2014-07-29,534.5,535.75,518.5,520.0,52051.0,204490.0
2014-07-28,538.0,543.25,532.0,534.75,33878.0,202306.0
2014-07-25,528.75,538.5,526.5,538.0,42145.0,204117.0
2014-07-24,530.5,542.25,526.0,528.75,56444.0,208091.0
2014-07-23,524.5,531.0,520.25,530.75,33147.0,206287.0
2014-07-22,529.5,536.75,524.0,524.5,35683.0,203104.0
2014-07-21,530.5,531.25,523.75,530.0,35988.0,204346.0
2014-07-18,552.5,555.75,531.0,532.25,52246.0,201877.0
2014-07-17,538.0,561.75,530.75,550.75,88485.0,204925.0
2014-07-16,537.0,544.75,535.75,538.0,32689.0,203081.0
2014-07-15,538.0,539.5,530.5,537.75,37916.0,202313.0
2014-07-14,526.25,539.0,524.25,537.75,44688.0,202616.0
2014-07-11,547.25,549.75,525.0,526.0,67884.0,201202.0
2014-07-10,552.0,556.0,546.25,548.5,39254.0,198780.0
2014-07-09,556.25,558.25,547.75,551.25,39039.0,197594.0
2014-07-08,557.25,561.0,555.0,556.25,37995.0,197734.0
