
HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-3-2,80,74,69,61,58,54,69,56,40,30.12,30.07,30.01,10,10,10,13,7,,0.00,5,,80<br />
2013-3-3,81,74,68,62,58,55,70,58,48,30.12,30.08,30.04,10,10,10,15,5,16,0.00,2,,142<br />
2013-3-4,80,73,66,62,59,56,70,60,48,30.14,30.09,30.05,10,10,10,15,5,,0.00,1,,48<br />
2013-3-5,81,74,66,62,58,56,73,58,45,30.12,30.08,30.03,10,10,10,12,6,,0.00,2,,290<br />
2013-3-6,80,74,69,63,58,52,65,57,49,30.12,30.07,30.04,10,10,10,12,6,,0.00,0,,169<br />
2013-3-7,80,73,66,65,61,52,70,62,51,30.08,30.04,29.98,10,10,10,10,7,,0.00,4,,292<br />
2013-3-8,80,73,66,65,62,57,70,65,54,30.03,29.97,29.90,10,10,10,15,5,20,0.00,3,,213<br />
2013-3-9,82,75,68,66,61,54,71,61,48,29.97,29.93,29.88,10,10,10,25,11,31,0.00,1,,145<br />
2013-3-10,82,76,70,70,65,55,83,66,54,30.02,29.95,29.88,10,10,10,23,12,31,0.00,3,,170<br />
2013-3-11,81,75,69,67,64,61,81,70,58,30.06,30.00,29.96,10,10,8,12,6,,0.16,4,Rain,47<br />
2013-3-12,79,75,70,67,65,62,84,73,58,30.05,30.01,29.97,10,10,10,15,5,,0.00,3,,9<br />
2013-3-13,81,74,68,65,62,59,81,64,50,30.06,30.02,29.97,10,10,10,9,5,,0.00,1,,177<br />
2013-3-14,81,76,70,66,63,59,73,65,58,30.06,30.02,29.98,10,10,10,10,6,,0.00,3,,175<br />
2013-3-15,78,74,69,67,65,63,88,73,64,30.01,29.96,29.91,10,9,2,15,8,29,0.46,6,Rain,184<br />
2013-3-16,75,73,71,65,60,56,78,64,53,30.01,29.96,29.92,10,10,10,14,8,,0.00,3,Rain,279<br />
2013-3-17,78,74,70,61,58,55,68,58,48,30.02,29.98,29.93,10,10,10,13,6,,0.00,3,,309<br />
2013-3-18,80,73,66,60,57,53,75,58,39,30.02,29.98,29.92,10,10,10,13,5,,0.00,1,,29<br />
2013-3-19,81,72,64,62,58,53,70,58,45,30.02,29.98,29.94,10,10,10,12,6,,0.00,1,,342<br />
2013-3-20,80,74,69,67,63,55,87,67,50,30.06,30.02,29.96,10,10,7,21,4,,0.01,6,Rain,122<br />
2013-3-21,81,76,70,69,65,59,76,70,62,30.06,30.01,29.95,10,10,10,13,6,,0.00,1,,176<br />
2013-3-22,81,76,72,68,66,62,76,70,62,30.05,29.99,29.93,10,10,10,14,8,,0.00,2,,22<br />
2013-3-23,81,77,73,69,65,61,82,69,52,30.00,29.96,29.91,10,10,10,17,11,,0.00,5,,16<br />
2013-3-24,81,76,71,68,66,63,87,74,56,30.03,29.96,29.91,10,10,10,16,9,,0.00,5,Rain,106<br />
2013-3-25,81,76,70,69,65,62,78,68,58,30.01,29.96,29.91,10,10,10,14,9,,0.00,2,,274<br />
2013-3-26,82,77,72,68,65,62,76,67,60,30.03,29.98,29.93,10,10,10,13,7,,0.00,1,,167<br />
2013-3-27,82,77,72,68,65,59,76,67,50,30.01,29.97,29.92,10,10,10,15,7,,0.00,2,,194<br />
2013-3-28,82,78,73,67,63,58,81,62,51,30.01,29.97,29.91,10,10,10,17,8,18,0.02,2,Rain,71<br />
2013-3-29,82,76,70,66,62,58,69,62,52,30.03,29.99,29.95,10,10,10,14,5,,0.00,3,,196<br />
2013-3-30,78,76,73,68,65,63,76,70,64,30.06,30.00,29.94,10,10,10,13,6,,0.00,5,Rain,320<br />
2013-3-31,81,76,71,63,60,55,73,59,49,30.02,29.98,29.95,10,10,10,17,11,22,0.00,2,,340<br />
2013-4-1,78,74,70,57,54,51,59,51,42,30.02,29.98,29.93,10,10,10,13,9,17,0.00,1,,311<br />
2013-4-2,81,74,66,58,56,54,68,53,39,30.06,30.01,29.96,10,10,10,15,8,,0.00,2,,6<br />
2013-4-3,82,74,66,59,56,53,61,53,41,30.08,30.02,29.98,10,10,10,10,5,,0.00,3,,319<br />
2013-4-4,81,74,68,63,59,53,62,56,49,30.08,30.03,29.99,10,10,10,10,5,,0.00,0,,188<br />
2013-4-5,82,76,70,65,61,56,64,59,52,30.11,30.05,30.00,10,10,10,12,6,,0.00,1,,171<br />
2013-4-6,82,77,72,67,64,60,74,64,56,30.14,30.09,30.03,10,10,10,9,6,,0.00,0,,160<br />
2013-4-7,82,76,69,70,67,64,88,68,61,30.15,30.11,30.05,10,10,10,14,6,,0.00,1,,215<br />
2013-4-8,82,78,73,68,65,61,73,67,58,30.08,30.04,29.97,10,10,10,58,12,,0.00,3,,232<br />
2013-4-9,82,76,71,68,67,66,83,69,58,30.07,30.01,29.95,10,10,10,13,8,,0.00,1,,208<br />
2013-4-10,82,76,70,68,66,63,81,69,58,30.05,30.01,29.94,10,10,10,13,9,,0.00,4,,203<br />
2013-4-11,82,78,73,68,65,63,76,65,54,30.02,29.98,29.93,10,10,10,12,6,,0.00,5,,166<br />
2013-4-12,82,78,73,68,66,64,76,67,58,29.99,29.94,29.90,10,10,10,15,7,,0.00,4,,295<br />
2013-4-13,84,80,75,70,67,65,83,70,56,29.97,29.93,29.87,10,10,10,17,7,,0.00,4,,296<br />
2013-4-14,82,78,73,68,66,63,78,68,56,29.99,29.93,29.88,10,10,10,15,7,,0.00,5,,176<br />
2013-4-15,84,78,72,68,66,63,79,67,51,30.04,29.99,29.93,10,10,10,13,7,,0.00,2,,353<br />
2013-4-16,82,78,73,70,68,65,83,72,60,30.09,30.05,29.99,10,10,10,14,7,,0.00,5,,241<br />
2013-4-17,82,78,73,69,66,59,78,68,54,30.11,30.06,30.02,10,10,10,14,5,,0.00,4,,157<br />
2013-4-18,82,77,72,67,63,59,71,61,54,30.11,30.07,30.04,10,10,10,10,6,,0.00,3,,177<br />
2013-4-19,84,78,73,68,66,63,78,65,58,30.08,30.04,30.01,10,10,10,13,6,,0.00,3,,187<br />
2013-4-20,82,78,73,67,65,62,71,64,58,30.08,30.05,30.01,10,10,10,12,6,,0.00,2,,247<br />
2013-4-21,82,78,73,68,66,61,78,69,56,30.05,30.02,29.97,10,10,10,14,7,,0.00,4,,268<br />
2013-4-22,84,78,72,68,66,62,74,65,53,30.05,30.01,29.97,10,10,10,15,5,,0.00,3,,132<br />
2013-4-23,84,78,71,68,66,61,79,65,55,30.07,30.03,29.99,10,10,10,15,6,,0.00,1,,200<br />
2013-4-24,84,78,73,70,68,66,83,70,56,30.09,30.03,29.98,10,10,10,15,6,,0.01,3,Rain,279<br />
2013-4-25,82,77,72,68,63,56,78,61,43,30.05,30.01,29.96,10,10,10,17,8,21,0.00,3,,36<br />
2013-4-26,82,78,73,67,65,62,73,65,54,30.02,29.98,29.96,10,10,10,12,5,,0.00,3,,153<br />
2013-4-27,84,78,72,67,65,62,71,63,55,30.05,30.00,29.94,10,10,10,12,6,,0.00,1,,192<br />
2013-4-28,84,78,72,68,64,60,69,62,50,30.03,29.99,29.94,10,10,10,14,8,,0.00,1,,2<br />
2013-4-29,84,78,73,70,66,61,87,65,54,29.99,29.96,29.91,10,10,10,13,7,,0.15,3,Rain,300<br />
2013-4-30,82,76,71,70,68,65,94,75,60,30.02,29.98,29.94,10,10,6,15,9,,0.19,3,Rain,350<br />
2013-5-1,84,78,71,66,63,56,79,60,45,30.06,30.01,29.97,10,10,10,12,5,,0.00,2,,174<br />
2013-5-2,82,78,73,68,67,65,74,67,58,30.07,30.04,30.00,10,10,10,16,8,,0.00,5,,227<br />
2013-5-3,82,78,73,70,66,64,78,68,58,30.06,30.02,29.98,10,10,8,18,10,20,0.03,6,Rain,221<br />
